House_ID,Sale_Price,Story,Total_SF ,Ext_Walls,Finish_SF_Attic,Finish_SF_Basement,Num_Stall_Garage,Has_Lake_Front,Sim
1,73235,1 Story,768,Other,0,0,1,No,0.49132
2,58737,1 Story,780,Other,351,0,2,No,0.81394
3,75884,1 Story,864,Other,0,0,1,No,0.97093
4,101651,1 Story,869,Other,0,0,2,No,0.62122
5,77519,1 Story,884,Other,0,0,1,No,0.22591
6,73338,1 Story,900,Other,0,0,1,No,0.81527
7,92028,1 Story,929,Other,0,0,1,No,0.20784
8,92688,1 Story,936,Other,0,0,1,No,0.19655
9,119778,1 Story,953,Brick,0,0,1,No,0.28024
10,115116,1 Story,965,Other,300,0,1,No,0.06571
11,122340,1 Story,979,Other,0,0,1,No,0.73561
12,101252,1 Story,1008,Other,0,0,1,No,0.4622
13,105358,1 Story,1019,Brick,0,147,1,No,0.55595
14,158401,1 Story,1038,Brick,467,0,2,No,0.09178
15,89971,1 Story,1055,Other,0,0,1,No,0.83686
16,84662,1 Story,1060,Brick,0,0,1,No,0.37773
17,128721,1 Story,1068,Other,0,0,2,No,0.31708
18,108025,1 Story,1075,Other,0,500,1,No,0.02253
19,107492,1 Story,1075,Other,0,672,1,No,0.75848
20,20355,1 Story,1080,Other,0,0,1,No,0.84568
21,107077,1 Story,1112,Brick,0,0,1,No,0.67324
22,131747,1 Story,1114,Other,0,332,1,No,0.32217
23,115002,1 Story,1164,Other,0,0,1,No,0.82005
24,62082,2 Story,1188,Brick,0,0,2,No,0.48489
25,54244,1 Story,1224,Brick,0,0,1,No,0.86799
26,137610,1 Story,1245,Brick,0,750,1,No,0.90943
27,61335,1 Story,1250,Brick,0,0,2,No,0.54992
28,116366,1 Story,1269,Brick,0,0,1,No,0.50906
29,124321,1 Story,1300,Brick,0,325,1,No,0.71557
30,128340,2 Story,1320,Brick,0,0,2.5,No,0.80268
31,143498,1 Story,1325,Brick,0,0,2,No,0.79491
32,91103,1 Story,1350,Brick,0,450,2,No,0.51087
33,133919,1 Story,1366,Brick,0,0,1,No,0.91023
34,141091,2 Story,1400,Brick,0,350,1,No,0.51308
35,91020,1 Story,1428,Brick,0,0,1,No,0.50146
36,126768,2 Story,1440,Brick,0,0,2,No,0.98988
37,111875,2 Story,1456,Brick,728,0,2,No,0.98846
38,78737,2 Story,1474,Brick,0,0,2,No,0.85632
39,123916,2 Story,1475,Brick,0,0,1,No,0.45031
40,145925,1 Story,1492,Brick,0,0,2,No,0.40475
41,136765,1 Story,1501,Brick,0,0,2,No,0.54305
42,178380,2 Story,1551,Brick,0,0,2,No,0.7383
43,86291,1 Story,1553,Brick,0,0,2,No,0.08977
44,133030,1 Story,1580,Brick,350,0,1,No,0.06943
45,143772,1 Story,1584,Brick,0,0,2,No,0.61028
46,118366,1 Story,1584,Brick,0,0,1,No,0.20958
47,109340,2 Story,1593,Brick,0,0,2,No,0.9037
48,117840,2 Story,1601,Brick,0,0,1,No,0.37192
49,149778,1 Story,1609,Brick,0,0,0,No,0.01538
50,63812,1 Story,1613,Brick,0,0,1,No,0.2336
51,121107,2 Story,1620,Brick,0,0,2,No,0.77979
52,143401,1 Story,1640,Brick,0,280,2,No,0.34111
53,156844,2 Story,1664,Brick,0,0,2,No,0.35614
54,173276,2 Story,1716,Brick,0,858,2,No,0.00378
55,152573,1 Story,1721,Brick,0,0,2,No,0.63982
56,136455,1 Story,1752,Brick,0,0,2,No,0.38168
57,102978,2 Story,1755,Brick,0,0,2,No,0.38526
58,136872,1 Story,1789,Brick,0,0,2,No,0.83639
59,202361,1 Story,1827,Brick,0,0,2,No,0.74421
60,120751,1 Story,1830,Brick,0,358,2,No,0.02893
61,164240,1 Story,1920,Brick,0,0,2,No,0.73501
62,231610,1 Story,1929,Brick,0,445,2,No,0.7246
63,214061,2 Story,1933,Brick,280,0,2,No,0.72644
64,174340,1 Story,1975,Brick,0,0,2,No,0.83499
65,93360,1 Story,1976,Brick,0,0,2,No,0.39798
66,169146,1 Story,1990,Brick,0,0,2,No,0.98142
67,145221,1 Story,1990,Brick,0,0,2,No,0.63142
68,109312,1 Story,2016,Brick,0,0,2.5,No,0.00147
69,153393,1 Story,2029,Brick,401,0,2,No,0.21015
70,120880,1 Story,2170,Brick,0,0,0,No,0.54173
71,265655,2 Story,2176,Brick,300,0,2,No,0.03673
72,231818,2 Story,2179,Brick,0,0,2.5,No,0.01312
73,199340,2 Story,2272,Brick,400,0,1,No,0.1547
74,106406,1 Story,2345,Brick,0,0,2,No,0.63187
75,294291,2 Story,2677,Brick,0,0,2,No,0.94674
76,192422,2 Story,2891,Brick,0,0,1,No,0.13616
77,196328,1 Story,3165,Brick,0,0,3,No,0.45996
78,217880,1 Story,3296,Brick,452,0,3,No,0.59524
79,250204,1 Story,4242,Brick,0,180,2,No,0.22274
80,157993,1 Story,1522,Brick,0,472,2,No,0.29003
81,158199,1 Story,1701,Brick,0,717,2,No,0.88551
82,255025,1 Story,1723,Brick,0,1391,3,Yes,0.16236
83,251449,1 Story,1751,Brick,0,1442,3,Yes,0.34337
84,235413,1 Story,1766,Brick,0,0,3,No,0.80508
85,224897,1 Story,1771,Brick,0,1148,3,Yes,0.45505
86,235987,1 Story,1773,Brick,0,1229,3,Yes,0.20703
87,191270,1 Story,1774,Brick,0,840,3,Yes,0.95466
88,321308,1 Story,1779,Brick,0,1329,3,Yes,0.79896
89,237990,1 Story,1787,Brick,0,1400,3,Yes,0.50516
90,225215,1 Story,1804,Brick,0,1533,3,Yes,0.81886
91,250352,1 Story,1815,Brick,0,1000,3,Yes,0.04764
92,206112,2 Story,1914,Brick,0,906,3,Yes,0.35101
93,194177,2 Story,1940,Brick,0,830,3,Yes,0.75192
94,152718,1 Story,1955,Brick,0,0,2,No,0.17068
95,226876,2 Story,2049,Brick,0,899,3,Yes,0.79768
96,187261,1 Story,2074,Brick,0,711,3,No,0.59071
97,284800,1 Story,2138,Brick,0,829,3,Yes,0.70269
98,215229,2 Story,2165,Brick,0,872,3,Yes,0.1132
99,217438,1 Story,2203,Brick,0,1069,3,Yes,0.86367
100,224884,1 Story,2211,Brick,0,800,3,No,0.41923
101,233754,2 Story,2218,Brick,0,871,3,Yes,0.38029
102,244229,1 Story,2224,Brick,0,884,3,Yes,0.77951
103,243990,2 Story,2237,Brick,0,800,3,No,0.91174
104,195682,2 Story,2239,Brick,0,800,3,Yes,0.69946
105,202884,2 Story,2240,Brick,0,1050,3,Yes,0.34685
106,202584,2 Story,2247,Brick,0,0,3,No,0.01456
107,283584,1 Story,2252,Brick,0,295,3,No,0.43902
108,186661,2 Story,2253,Brick,0,655,3,No,0.91234
109,235285,1 Story,2254,Brick,0,1200,3,Yes,0.78702
110,254013,2 Story,2257,Brick,0,908,3,Yes,0.3138
111,183455,1 Story,2263,Brick,0,0,2,No,0.87212
112,215842,2 Story,2268,Brick,0,800,3,Yes,0.57508
113,232229,2 Story,2278,Brick,0,798,3,No,0.76669
114,251090,2 Story,2281,Brick,0,813,3,Yes,0.35391
115,206261,2 Story,2286,Brick,0,879,3,Yes,0.49879
116,222682,2 Story,2301,Brick,0,827,3,Yes,0.04306
117,268687,2 Story,2303,Brick,0,652,3,No,0.57206
118,257618,2 Story,2318,Brick,0,867,3,Yes,0.05021
119,241997,2 Story,2342,Brick,0,800,3,Yes,0.11008
120,304636,2 Story,2347,Brick,0,945,3,Yes,0.75077
121,254562,2 Story,2347,Brick,0,965,3,Yes,0.66962
122,247990,2 Story,2351,Brick,0,800,3,Yes,0.00497
123,242385,2 Story,2353,Brick,0,901,3,Yes,0.80924
124,212787,2 Story,2379,Brick,0,857,3,Yes,0.52796
125,225740,2 Story,2381,Brick,0,844,3,Yes,0.49171
126,199302,1 Story,2382,Brick,0,1100,3,Yes,0.88405
127,320582,2 Story,2384,Brick,0,979,3,Yes,0.16082
128,254511,2 Story,2388,Brick,0,1002,3,Yes,0.11966
129,249127,2 Story,2396,Brick,0,880,3,Yes,0.98581
130,254016,2 Story,2401,Brick,0,971,3,Yes,0.63923
131,196745,2 Story,2401,Brick,0,911,3,Yes,0.40987
132,268784,2 Story,2402,Brick,0,895,3,Yes,0.78518
133,244316,2 Story,2403,Brick,0,963,3,Yes,0.17509
134,213083,2 Story,2408,Brick,0,950,3,Yes,0.95202
135,227625,2 Story,2437,Brick,0,688,3,No,0.86014
136,224261,2 Story,2447,Brick,0,456,3,No,0.19446
137,342300,2 Story,2462,Brick,0,1023,3,Yes,0.02752
138,222280,2 Story,2463,Brick,0,712,3,No,0.96598
139,300472,2 Story,2466,Brick,0,900,3,Yes,0.42694
140,226644,2 Story,2486,Brick,0,948,3,Yes,0.41503
141,253723,2 Story,2496,Brick,0,938,3,Yes,0.19714
142,317912,2 Story,2499,Brick,0,1077,3,Yes,0.39454
143,307329,2 Story,2517,Brick,0,1006,3,Yes,0.2093
144,292056,2 Story,2526,Brick,0,974,3,Yes,0.2855
145,277533,2 Story,2542,Brick,0,916,3,Yes,0.18089
146,322764,1 Story,2560,Brick,0,1358,3,Yes,0.49424
147,289663,2 Story,2565,Brick,0,1049,3,Yes,0.76666
148,252139,2 Story,2568,Brick,0,696,3,No,0.61276
149,212330,2 Story,2577,Brick,0,844,3,Yes,0.99054
150,296816,2 Story,2585,Brick,0,1050,3,Yes,0.0275
151,255503,1 Story,2593,Brick,0,929,3,Yes,0.96384
152,256866,1 Story,2595,Brick,0,1558,3,Yes,0.7899
153,62636,1 Story,2600,Brick,0,783,3,No,0.70926
154,222458,2 Story,2623,Brick,0,890,3,Yes,0.93288
155,252389,2 Story,2626,Brick,0,780,3,No,0.7438
156,277384,2 Story,2631,Brick,0,913,3,Yes,0.15878
157,284884,2 Story,2652,Brick,0,891,3,Yes,0.37944
158,257509,2 Story,2654,Brick,0,1066,3,Yes,0.93584
159,286514,2 Story,2657,Brick,0,1060,3,Yes,0.21421
160,303784,2 Story,2659,Other,0,896,3,Yes,0.11932
161,3719,2 Story,2660,Other,0,1020,3,Yes,0.90048
162,235129,2 Story,2665,Brick,0,1093,3,Yes,0.90505
163,284273,1 Story,2676,Other,0,905,3,Yes,0.91616
164,342300,1 Story,2683,Other,0,892,3,Yes,0.62785
165,277101,1 Story,2748,Other,0,993,3,Yes,0.09698
166,263990,2 Story,2761,Other,0,1000,3,Yes,0.09224
167,263228,2 Story,2807,Other,0,1031,3,Yes,0.33451
168,282547,1 Story,2953,Other,0,881,3,Yes,0.67061
169,351600,1 Story,3055,Other,0,927,3,Yes,0.65381
170,295784,1 Story,3139,Other,0,1011,3,Yes,0.41222
171,354200,1 Story,3158,Other,0,1050,3,Yes,0.12668
172,277947,2 Story,3230,Other,0,960,3,Yes,0.63752
173,115169,2 Story,868,Other,0,400,2,No,0.71345
174,108289,2 Story,908,Other,0,460,2,No,0.1488
175,117251,2 Story,1000,Other,0,900,2,No,0.82707
176,111603,2 Story,1028,Other,0,840,2,No,0.27296
177,128102,2 Story,1052,Other,0,804,2,No,0.60942
178,106289,2 Story,1052,Other,0,960,2,No,0.9306
179,111163,2 Story,1052,Other,0,552,2,No,0.19807
180,125390,1 Story,1068,Other,0,300,2,No,0.44476
181,123887,1 Story,1106,Other,0,885,2,No,0.59861
182,133036,1 Story,1106,Other,0,1050,2,No,0.22919
183,123519,2 Story,1144,Other,0,1008,2,No,0.19471
184,124715,2 Story,1144,Other,0,864,2,No,0.48386
185,119663,2 Story,1144,Other,0,1104,2,No,0.13082
186,136280,2 Story,1152,Other,0,1008,2,No,0.26671
187,129962,1 Story,1156,Other,0,0,2,No,0.38119
188,132101,1 Story,1156,Other,0,1050,2,No,0.65052
189,138279,1 Story,1160,Other,0,0,2,No,0.12532
190,127136,1 Story,1164,Other,0,0,2,No,0.85933
191,108039,1 Story,1164,Other,0,0,2,No,0.03288
192,135646,1 Story,1166,Other,0,0,2,No,0.07234
193,143380,1 Story,1174,Other,0,0,2,No,0.63123
194,135176,1 Story,1174,Other,0,881,2,No,0.27815
195,116136,1 Story,1188,Other,0,0,2,No,0.42477
196,132731,1 Story,1188,Other,0,0,2,No,0.07564
197,119163,1 Story,1280,Other,0,572,2,No,0.47164
198,145494,1 Story,1280,Other,0,0,2,No,0.74224
199,125538,1 Story,1280,Other,0,405,2,No,0.81204
200,138063,1 Story,1280,Other,0,1128,2,No,0.95164
201,140642,1 Story,1280,Other,0,0,2,No,0.20045
202,134347,1 Story,1280,Other,0,440,2,No,0.18808
203,133163,1 Story,1280,Other,0,925,2,No,0.38671
204,151559,1 Story,1292,Other,0,0,2,No,0.96537
205,134007,1 Story,1294,Other,0,507,2,No,0.22949
206,145019,1 Story,1296,Other,0,480,2,No,0.71853
207,152063,1 Story,1300,Other,0,0,2,No,0.76105
208,106309,1 Story,1306,Other,0,0,2,No,0.17154
209,122774,1 Story,1364,Other,0,1059,2,No,0.84825
210,149319,1 Story,1448,Other,0,900,2,No,0.12061
211,135163,2 Story,1462,Other,0,684,2,No,0.25511
212,124195,1 Story,1586,Other,0,350,2,No,0.69603
213,128163,1 Story,1688,Other,0,400,2,No,0.39049
214,119863,1 Story,1688,Other,0,0,2,No,0.80159
215,152163,1 Story,1705,Other,0,400,2,No,0.22397
216,127663,1 Story,1724,Other,0,0,2,No,0.71856
217,155214,2 Story,2184,Other,0,0,2,No,0.55389
218,102708,1 Story,1008,Other,0,455,2,No,0.30454
219,103177,2 Story,1026,Other,0,988,1,No,0.7777
220,128625,2 Story,1026,Other,0,988,2,No,0.21041
221,97014,2 Story,1026,Other,0,988,1,No,0.55496
222,105336,1 Story,1026,Other,0,188,2,No,0.74907
223,91018,2 Story,1028,Other,0,520,1,No,0.61056
224,103916,1 Story,1032,Other,0,1000,2,No,0.05871
225,105463,2 Story,1039,Other,0,988,2,No,0.13156
226,82708,1 Story,1040,Other,0,0,1,No,0.98018
227,92499,1 Story,1045,Other,0,860,1,No,0.08895
228,114438,2 Story,1053,Other,0,814,2,No,0.33657
229,99662,2 Story,1062,Other,0,594,1,No,0.38851
230,98514,2 Story,1080,Other,0,1040,1,No,0.93532
231,61599,2 Story,1106,Other,0,304,1,No,0.49569
232,112708,2 Story,1114,Other,0,1036,2,No,0.75786
233,82708,1 Story,1128,Other,0,0,1,No,0.94051
234,95642,1 Story,1134,Other,0,0,1,No,0.14251
235,115333,2 Story,1140,Other,0,1080,2,No,0.16254
236,102836,1 Story,1143,Other,0,850,2,No,0.97623
237,101208,1 Story,1188,Other,0,528,2,No,0.81153
238,112026,2 Story,1188,Other,0,1000,2,No,0.54558
239,114809,2 Story,1188,Other,0,1144,2,No,0.92862
240,114971,2 Story,1215,Brick,0,1170,2,No,0.43321
241,95391,2 Story,1235,Other,0,520,1,No,0.56095
242,113192,2 Story,1238,Other,0,0,1.5,No,0.84511
243,103655,1 Story,1242,Other,0,738,2,No,0.53133
244,111040,2 Story,1258,Other,0,1188,2,No,0.05383
245,117257,2 Story,1296,Other,0,648,2,No,0.07427
246,92909,2 Story,1298,Brick,0,638,1.5,No,0.27782
247,104569,2 Story,1419,Other,0,0,1.5,No,0.43884
248,126081,1 Story,1500,Other,0,0,2,No,0.95889
249,109533,1 Story,1772,Other,0,0,2,No,0.09092
250,145351,1 Story,1808,Brick,0,1808,2,No,0.98068
251,134878,1 Story,1868,Other,0,600,2,No,0.51731
252,112463,1 Story,1887,Brick,0,0,2,No,0.75995
253,121814,1 Story,1910,Other,0,720,2,No,0.74549
254,118378,1 Story,1999,Brick,0,0,2,No,0.55092
255,147319,1 Story,2128,Other,0,0,2,No,0.83561
256,337232,1 Story,2306,Brick,0,1000,3,Yes,0.37704
257,393786,1 Story,2671,Brick,0,1500,3,Yes,0.06385
258,231659,1 Story,2794,Brick,0,1134,3,Yes,0.49992
259,202266,1 Story,2828,Other,0,1400,3,Yes,0.99104
260,216680,1 Story,2833,Brick,0,800,3,No,0.42419
261,350638,2 Story,2892,Other,0,776,3,No,0.92314
262,260979,2 Story,2934,Brick,0,1396,3,Yes,0.63632
263,432379,1 Story,2960,Brick,0,1500,3,Yes,0.6769
264,255326,2 Story,2961,Other,0,1360,3,Yes,0.3062
265,264938,1 Story,2986,Other,0,1450,3,Yes,0.07388
266,207406,1 Story,2986,Brick,0,1000,3,Yes,0.65117
267,279387,1 Story,2998,Other,0,936,3,Yes,0.1476
268,372827,1 Story,3021,Brick,0,2921,3,Yes,0.38889
269,217040,1 Story,3044,Brick,0,0,3,No,0.71218
270,153266,1 Story,3066,Brick,0,650,2,No,0.31508
271,263387,1 Story,3072,Brick,0,1179,3,Yes,0.03211
272,640826,1 Story,3132,Brick,0,1796,3,Yes,0.75793
273,352765,2 Story,3135,Brick,0,1570,3,Yes,0.06924
274,355052,2 Story,3145,Brick,0,1642,3,Yes,0.07719
275,281661,2 Story,3202,Brick,0,360,3,No,0.7086
276,327310,2 Story,3264,Brick,0,1636,3,Yes,0.19272
277,373643,1 Story,3326,Brick,0,1150,3,Yes,0.55356
278,366601,1 Story,3344,Brick,0,1060,3,Yes,0.19757
279,350061,1 Story,3352,Brick,0,1912,3,Yes,0.79194
280,470537,1 Story,3358,Brick,0,1895,3,Yes,0.62931
281,300935,1 Story,3378,Brick,0,1015,3,Yes,0.82316
282,315105,1 Story,3442,Other,0,1720,3,Yes,0.65041
283,370766,1 Story,3486,Brick,0,2400,3,Yes,0.41111
284,240052,1 Story,3503,Other,0,0,3,No,0.01607
285,133110,2 Story,3514,Brick,0,1209,3,Yes,0.00271
286,198722,1 Story,3521,Brick,0,952,3,Yes,0.58375
287,450412,1 Story,3635,Brick,0,1602,3,Yes,0.3165
288,329446,2 Story,3693,Brick,0,927,3,Yes,0.24377
289,287128,1 Story,3698,Brick,0,950,3,Yes,0.30899
290,269401,1 Story,3904,Brick,0,1635,3,Yes,0.20683
291,327184,1 Story,4068,Brick,0,700,3,No,0.69144
292,301501,1 Story,4102,Brick,0,945,3,Yes,0.9958
